iter	Logloss
0	0.6600676011
1	0.6233074854
2	0.5914739263
3	0.5637166012
4	0.5401791771
5	0.5193087229
6	0.5018475799
7	0.4847519826
8	0.4688581346
9	0.4561441771
10	0.4441832287
11	0.4344267814
12	0.4262696431
13	0.4189473517
14	0.4122923467
15	0.4065258753
16	0.4015249471
17	0.3975424106
18	0.3933708323
19	0.3900224745
20	0.3870326542
21	0.3844105409
22	0.3818019913
23	0.379739355
24	0.3773369936
25	0.3753992808
26	0.3736252635
27	0.3721086893
28	0.3706579966
29	0.3696370571
30	0.3686818183
31	0.3673263058
32	0.3663473468
33	0.3655082842
34	0.36472509
35	0.3637674047
36	0.3631923657
37	0.3624178748
38	0.3617033111
39	0.3611251815
40	0.3603216534
41	0.3596088527
42	0.3591517586
43	0.3586202341
44	0.3581074649
45	0.357513084
46	0.356978442
47	0.3565875125
48	0.3561648961
49	0.3557300422
50	0.3553930753
51	0.3550497195
52	0.3547091274
53	0.354355661
54	0.3540138219
55	0.3536747706
56	0.353334536
57	0.3529913764
58	0.3527451936
59	0.3524322554
60	0.3521602403
61	0.3519754352
62	0.3517447708
63	0.3515379229
64	0.351284037
65	0.3511030252
66	0.3508947292
67	0.3507117222
68	0.3504222195
69	0.3502554724
70	0.3499912184
71	0.3498453624
72	0.3496832822
73	0.3494424163
74	0.3493255993
75	0.3491731177
76	0.3489554039
77	0.3488130953
78	0.3487377436
79	0.3485622203
80	0.3484303282
81	0.3483343883
82	0.3481904232
83	0.3480232029
84	0.3478706591
85	0.3477338097
86	0.3476061698
87	0.3475390117
88	0.3474373247
89	0.3473225111
90	0.3472163013
91	0.3471457834
92	0.347026869
93	0.3469466541
94	0.3468741873
95	0.3467208218
96	0.3466485857
97	0.3465854307
98	0.346448432
99	0.3463731542
100	0.3462888356
101	0.3461765119
102	0.3460723617
103	0.3459446118
104	0.3458593851
105	0.345787549
106	0.3456872294
107	0.3456056093
108	0.3454923175
109	0.3454251318
110	0.3453554453
111	0.3452546651
112	0.3451987517
113	0.3450751424
114	0.3450001291
115	0.3449459986
116	0.3448647807
117	0.3447964651
118	0.344761364
119	0.3447266387
120	0.3446532183
121	0.3445896519
122	0.344547599
123	0.3444910343
124	0.3444203499
125	0.3443218411
126	0.3442395438
127	0.3441603529
128	0.3440983845
129	0.3440028376
130	0.3439319815
131	0.3438564385
132	0.3438319135
133	0.3437928767
134	0.3437037536
135	0.3436067553
136	0.3435128395
137	0.3434771056
138	0.3434748541
139	0.3434165524
140	0.343384889
141	0.3433130035
142	0.3432450962
143	0.3431925414
